file,rows,used_sep,used_encoding,has_author,has_title,has_date,has_content,has_url,error
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_1.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_2.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_3.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_4.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_5.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_6.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_7.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_8.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_9.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_10.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_11.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_12.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_13.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_14.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_15.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_16.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_17.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_18.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_19.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_20.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_21.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_22.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_23.csv,1,auto,utf-8,True,True,True,True,False,
/content/drive/MyDrive/Colab Notebooks/STAGE_CRLAO_CNRS/Corpus_data/Avant-Token/ch_corpus/Peuple Quotidienne/2022/peuple2022_24.csv,1,auto,utf-8,True,True,True,True,False,
